"Story","Title","Result","Date","Stability","Duration (s)"
"Case Stori","case one","SUCCESS","2022-07-12T13:13:27.198-05:00[America/Bogota]","0.0","11.41"
"Case Stori","case two","SUCCESS","2022-07-12T13:13:39.362-05:00[America/Bogota]","0.0","15.08"
"Case Stori","case three","SUCCESS","2022-07-12T13:13:55.207-05:00[America/Bogota]","0.0","19.79"
"Case Stori","case four","SUCCESS","2022-07-12T13:14:16.253-05:00[America/Bogota]","0.0","31.24"
"Case Stori","case five","SUCCESS","2022-07-12T13:14:48.324-05:00[America/Bogota]","0.0","36.15"
"Case Stori","case seven","SUCCESS","2022-07-12T13:15:44.566-05:00[America/Bogota]","0.0","13.56"
"Case Stori","case eight","SUCCESS","2022-07-12T13:15:58.869-05:00[America/Bogota]","0.0","9.92"
"Case Stori","case nine","SUCCESS","2022-07-12T13:16:09.547-05:00[America/Bogota]","0.0","14.99"
